time_s,irrigation_mm_h,ec_drip,n_drip,p_drip,k_drip
5834400.000000,0.000000000,1.380000074,0.011381878,0.010352512,0.012998826
5860800.000000,0.000000000,1.380000074,0.011292017,0.010319122,0.012892377
5887200.000000,0.000000000,1.380000074,0.011392323,0.010356021,0.013011178
5913600.000000,0.000000000,1.380000074,0.011300767,0.010322089,0.012902725
5940000.000000,0.000000000,1.380000074,0.011224067,0.010293389,0.012811869
5966400.000000,0.000000000,1.380000074,0.011342542,0.010336960,0.012952199
5992800.000000,0.000000000,1.380000074,0.011259064,0.010305967,0.012853315
6019200.000000,0.000000000,1.380000074,0.011189130,0.010279751,0.012770476
6045600.000000,0.000000000,1.380000074,0.011316947,0.010326859,0.012921874
6072000.000000,0.000000000,1.380000074,0.011410587,0.010361751,0.013032787
6098400.000000,0.000000000,1.380000074,0.011316068,0.010326937,0.012920829
6124800.000000,0.000000000,1.380000074,0.011409943,0.010361810,0.013032022
6151200.000000,0.000000000,1.380000074,0.011478715,0.010387639,0.013113482
6177600.000000,0.000000000,1.380000074,0.011373142,0.010348835,0.012988431
6204000.000000,0.000000000,1.380000074,0.011284698,0.010316011,0.012883669
6230400.000000,0.000000000,1.380000074,0.011386961,0.010353716,0.013004799
6256800.000000,0.000000000,1.380000074,0.011296276,0.010320140,0.012897381
6283200.000000,0.000000000,1.380000074,0.011220303,0.010291740,0.012807392
6309600.000000,0.000000000,1.380000074,0.011339786,0.010335739,0.012948918
6336000.000000,0.000000000,1.380000074,0.011427318,0.010368329,0.013052600
6362400.000000,0.000000000,1.380000074,0.011330084,0.010332501,0.012937426
6388800.000000,0.000000000,1.380000074,0.011420211,0.010365930,0.013044182
6415200.000000,0.000000000,1.380000074,0.011488351,0.010390691,0.013122390
6441600.000000,0.000000000,1.380000074,0.011379411,0.010351416,0.012995893
6468000.000000,0.000000000,1.380000074,0.011456347,0.010379941,0.013087014
6494400.000000,0.000000000,1.380000074,0.011552935,0.010432648,0.013198127
6520800.000000,0.000000000,1.380000074,0.007692927,0.007253204,0.008968749
6547200.000000,0.000000000,1.002998863,0.007717122,0.007264889,0.008969702
6573600.000000,0.000000000,1.000023656,0.007898963,0.007334388,0.009164738
6600000.000000,0.000000000,1.000000176,0.007889729,0.007333559,0.009133892
6626400.000000,0.000000000,0.999999991,0.007881993,0.007332856,0.009108050
6652800.000000,0.000000000,0.999999989,0.008020054,0.007384859,0.009266350
6679200.000000,0.000000000,0.999999989,0.008121456,0.007423475,0.009382615
6705600.000000,0.000000000,0.999999989,0.008076122,0.007408912,0.009316418
6732000.000000,0.000000000,0.999999989,0.008162635,0.007441335,0.009419389
6758400.000000,0.000000000,0.999999989,0.009939715,0.009005452,0.011442421
6784800.000000,0.000000000,0.999999989,0.009582783,0.008733817,0.011047322
6811200.000000,0.000000000,1.136060622,0.009242773,0.008465665,0.010620661
6837600.000000,0.000000000,1.137134381,0.009044567,0.008248709,0.010405745
6864000.000000,0.000000000,1.137142855,0.008717966,0.007988774,0.010024608
6890400.000000,0.000000000,1.045940328,0.008414204,0.007741777,0.009671138
6916800.000000,0.000000000,1.045220579,0.008264751,0.007557033,0.009514318
6943200.000000,0.000000000,1.045214899,0.007991065,0.007337412,0.009194403
6969600.000000,0.000000000,0.967234018,0.007749575,0.007140648,0.008912552
6996000.000000,0.000000000,0.945781305,0.007670935,0.007015525,0.008837435
7022400.000000,0.000000000,0.945612005,0.007597371,0.006908348,0.008769921
7048800.000000,0.000000000,0.914521762,0.007428741,0.006785703,0.008577155
7075200.000000,0.000000000,0.904975434,0.007428697,0.006740802,0.008576501
7101600.000000,0.000000000,0.904900097,0.007467067,0.006726715,0.008634571
7128000.000000,0.000000000,0.904899502,0.007430297,0.006704446,0.008590728
7154400.000000,0.000000000,0.900038670,0.007382536,0.006687574,0.008543682
7180800.000000,0.000000000,0.900000309,0.007443015,0.006712837,0.008634709
7207200.000000,0.000000000,0.900000006,0.007397641,0.006694673,0.008589711
7233600.000000,0.000000000,0.900000004,0.007325284,0.006679307,0.008519591
7260000.000000,0.000000000,0.900000004,0.007392437,0.006706697,0.008613594
7286400.000000,0.000000000,0.900000004,0.007471964,0.006727040,0.008718908
7312800.000000,0.000000000,0.900000004,0.007446122,0.006706686,0.008691719
7339200.000000,0.000000000,0.900000004,0.007524509,0.006727031,0.008801920
7365600.000000,0.000000000,0.900000004,0.007619083,0.006744717,0.008911129
7392000.000000,0.000000000,0.900000004,0.007623761,0.006728156,0.008912710
7418400.000000,0.000000000,0.900000004,0.007710349,0.006740100,0.009029087
7444800.000000,0.000000000,0.900000004,0.007816100,0.006762412,0.009144680
7471200.000000,0.000000000,0.900000004,0.007794654,0.006745984,0.009113922
7497600.000000,0.000000000,0.900000004,0.007766387,0.006716555,0.009032296
7524000.000000,0.000000000,0.900000004,0.007836418,0.006725704,0.009110058
7550400.000000,0.000000000,0.900000004,0.007796766,0.006705556,0.009029059
7576800.000000,0.000000000,0.900000004,0.007726848,0.006688513,0.008950218
7603200.000000,0.000000000,0.900000004,0.007771295,0.006713535,0.009026242
7629600.000000,0.000000000,0.900000004,0.007846803,0.006732662,0.009129437
7656000.000000,0.000000000,0.900000004,0.007813902,0.006710977,0.009045295
7682400.000000,0.000000000,0.900000004,0.007880612,0.006730379,0.009119605
7708800.000000,0.000000000,0.900000004,0.007957778,0.006747309,0.009174195
7735200.000000,0.000000000,0.900000004,0.007946924,0.006733870,0.009082790
7761600.000000,0.000000000,0.900000004,0.007891717,0.006701857,0.009002789
7788000.000000,0.000000000,0.900000004,0.007949933,0.006723445,0.009087064
7814400.000000,0.000000000,0.900000004,0.007896662,0.006703645,0.009011174
7840800.000000,0.000000000,0.900000004,0.007820422,0.006686897,0.008933298
7867200.000000,0.000000000,0.900000004,0.007852984,0.006712334,0.008999708
7893600.000000,0.000000000,0.900000004,0.007783023,0.006694247,0.008934381
7920000.000000,0.000000000,0.900000004,0.007681922,0.006678948,0.008837952
7946400.000000,0.000000000,0.900000004,0.007740106,0.006706430,0.008925666
7972800.000000,0.000000000,0.900000004,0.007800543,0.006726842,0.009017290
7999200.000000,0.000000000,0.900000004,0.007754590,0.006706519,0.008972814
8025600.000000,0.000000000,0.900000004,0.007811217,0.006726907,0.009066588
8052000.000000,0.000000000,0.900000004,0.007893555,0.006744604,0.009166870
8078400.000000,0.000000000,0.900000004,0.007867929,0.006726404,0.009076654
8104800.000000,0.000000000,0.900000004,0.007812876,0.006700140,0.008997645
8131200.000000,0.000000000,0.900000004,0.007864095,0.006722169,0.009079153
8157600.000000,0.000000000,0.900000004,0.007806046,0.006702566,0.009007703
8184000.000000,0.000000000,0.900000004,0.007720207,0.006685984,0.008920752
8210400.000000,0.000000000,0.900000004,0.007758984,0.006711657,0.008997672
8236800.000000,0.000000000,0.900000004,0.007824384,0.006730962,0.009092338
8263200.000000,0.000000000,0.900000004,0.007786762,0.006709800,0.009038902
8289600.000000,0.000000000,0.900000004,0.007853947,0.006729344,0.009114910
8316000.000000,0.000000000,0.900000004,0.007933841,0.006747428,0.009170745
8342400.000000,0.000000000,0.900000004,0.007901034,0.006729615,0.009079900
8368800.000000,0.000000000,0.900000004,0.007980393,0.006741429,0.009145027
8395200.000000,0.000000000,0.900000004,0.008071218,0.006763490,0.009192869
8421600.000000,0.000000000,0.900000004,0.008084893,0.006758460,0.009098434
8448000.000000,0.000000000,0.900000004,0.008029984,0.006727461,0.009017806
8474400.000000,0.000000000,0.900000004,0.008068558,0.006725981,0.009100550
8500800.000000,0.000000000,0.900000004,0.008017802,0.006705791,0.009020252
8527200.000000,0.000000000,0.900000004,0.007933496,0.006688712,0.008943729
8553600.000000,0.000000000,0.900000004,0.007975239,0.006713682,0.009022284
